Country,Revenue
United Kingdom,8298244.783
EIRE,352235.68
Netherlands,263861.76
Germany,195920.421
France,130661.55
Sweden,51190.11
Denmark,46972.95
Switzerland,43343.41
Spain,37052.13
Australia,30051.8
Portugal,23765.23
Belgium,22644.03
Channel Islands,21367.32
Greece,14284.97
Italy,13774.39
Austria,13023.28
Cyprus,11173.8
Japan,8435.96
United Arab Emirates,8046.37
Finland,7187.71
Unspecified,4937.53
Lithuania,4892.68
USA,4555.62
Norway,4079.5700000000006
Singapore,4037.77
Hong Kong,3922.26
Poland,3314.95
Israel,3199.4
Thailand,3070.54
Malta,2686.75
RSA,2366.7200000000003
Bahrain,2313.15
Iceland,1323.32
Bermuda,1253.1399999999999
Canada,1216.66
Korea,949.82
West Indies,536.41
Brazil,268.27
Lebanon,172.03
Nigeria,-6.659999999999996
