StockCode,Description,Revenue
22423,REGENCY CAKESTAND 3 TIER,-7027.049999999999
79323W,WHITE CHERRY LIGHTS,-6277.3
79323P,PINK CHERRY LIGHTS,-3967.35
84078A,SET/4 WHITE RETRO STORAGE CUBES ,-3939.4000000000005
22138,BAKING SET 9 PIECE RETROSPOT ,-3761.65
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-3730.25
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,-3645.6499999999996
S,SAMPLES,-3090.21
85123A,WHITE HANGING HEART T-LIGHT HOLDER,-2765.35
79323LP,LIGHT PINK CHERRY LIGHTS,-2702.8
79341,WILLOW BRANCH LIGHTS.,-2519.6000000000004
21735,TWO DOOR CURIO CABINET,-2152.65
21314,SMALL GLASS HEART TRINKET POT,-2032.9500000000003
21843,RED RETROSPOT CAKE STAND,-1924.75
22341,LOVE GARLAND PAINTED ZINC ,-1858.1999999999998
21481,FAWN BLUE HOT WATER BOTTLE,-1826.3
37449,CERAMIC CAKE STAND + HANGING CAKES,-1797.4
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,-1779.6000000000001
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,-1664.9199999999998
20829,GLITTER HANGING BUTTERFLY STRING,-1598.8
