StockCode,Description,Revenue
22423,REGENCY CAKESTAND 3 TIER,162885.71
85123A,WHITE HANGING HEART T-LIGHT HOLDER,155540.37
DOT,DOTCOM POSTAGE,116401.99
84879,ASSORTED COLOUR BIRD ORNAMENT,72251.31999999999
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,57808.25
85099B,JUMBO BAG RED RETROSPOT,54217.92
47566,PARTY BUNTING,49626.92
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,47641.89
POST,POSTAGE,46092.36
85099F,JUMBO BAG STRAWBERRY,35823.39
15056N,EDWARDIAN PARASOL NATURAL,35748.0
21621,VINTAGE UNION JACK BUNTING,35717.71
21232,STRAWBERRY CERAMIC TRINKET BOX,33750.95
85099C,JUMBO  BAG BAROQUE BLACK WHITE,31995.82
15056BL,EDWARDIAN PARASOL BLACK,31580.5
21931,JUMBO STORAGE BAG SUKI,31385.41
22189,CREAM HEART CARD HOLDER,30974.43
79321,CHILLI LIGHTS,30775.15
21754,HOME BUILDING BLOCK WORD,30738.22
22114,HOT WATER BOTTLE TEA AND SYMPATHY,29903.81
